NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJA_GEMIDDELD	SJA_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8717127750009"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AN"	"4413AN"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	15	100,00	100,00	100,00	"G4"	1037,47	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AP"	"4413AP"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	12	66,67	100,00	50,00	"1x35"	2262,92	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AP"	"4413AP"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	100,00	"G4"	1071,58	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AR"	"4413AR"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	10	40,00	100,00	90,00	"3x25"	3194,50	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AR"	"4413AT"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	25	100,00	96,00	92,00	"G4"	1121,00	0,00	92,00
"8716902000001"	"STEDIN ZEELAND"	"Spoorlaan"	"4413AT"	"4413AT"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	16	50,00	93,75	68,75	"3x25"	4219,19	93,75	93,75
"8716902000001"	"STEDIN ZEELAND"	"Spoorlaan"	"4413AV"	"4413AV"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	12	100,00	100,00	75,00	"1x35"	1680,17	91,67	91,67
"8717127750009"	"STEDIN ZEELAND"	"Spoorlaan"	"4413AV"	"4413AV"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	100,00	"G4"	1000,92	0,00	91,67
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AW"	"4413AW"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	19	47,37	100,00	73,68	"3x25"	3008,53	89,47	89,47
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AW"	"4413AW"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	19	100,00	100,00	78,95	"G4"	960,26	0,00	84,21
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AX"	"4413AX"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	17	29,41	100,00	64,71	"3x25"	3349,00	94,12	94,12
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AX"	"4413AX"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	100,00	"G4"	1010,41	0,00	88,24
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AZ"	"4413AZ"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	11	27,27	100,00	81,82	"3x25"	2903,91	90,91	90,91
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413AZ"	"4413AZ"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	100,00	"G4"	731,55	0,00	90,91
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BA"	"4413BA"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	12	66,67	100,00	66,67	"3x25"	3735,25	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BA"	"4413BA"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	100,00	"G4"	836,58	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BB"	"4413BB"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	15	60,00	100,00	60,00	"1x35"	2958,67	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BB"	"4413BB"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	15	100,00	100,00	100,00	"G4"	831,20	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BC"	"4413BC"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	10	50,00	100,00	60,00	"1x35"	2332,10	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Wilhelminastraat"	"4413BC"	"4413BC"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	10	100,00	100,00	100,00	"G4"	914,70	0,00	90,00
"8716902000001"	"STEDIN ZEELAND"	"Baanstraat"	"4413BD"	"4413BD"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	15	60,00	40,00	53,33	"1x35"	1668,27	73,33	40,00
"8717127750009"	"STEDIN ZEELAND"	"Baanstraat"	"4413BD"	"4413BE"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	26	100,00	65,38	100,00	"G4"	987,92	0,00	57,69
"8716902000001"	"STEDIN ZEELAND"	"Doelstraat"	"4413BE"	"4413BE"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	18	66,67	100,00	55,56	"3x25"	2241,89	94,44	94,44
"8716902000001"	"STEDIN ZEELAND"	"Doelstraat"	"4413BG"	"4413BG"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	36	63,89	97,22	66,67	"1x35"	2222,75	88,89	97,22
"8717127750009"	"STEDIN ZEELAND"	"Doelstraat"	"4413BG"	"4413BG"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	31	100,00	100,00	96,77	"G4"	1013,71	0,00	96,77
"8716902000001"	"STEDIN ZEELAND"	"Doelstraat"	"4413BH"	"4413BH"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	20	70,00	100,00	50,00	"1x35"	2656,50	95,00	95,00
"8717127750009"	"STEDIN ZEELAND"	"Doelstraat"	"4413BH"	"4413BH"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	20	100,00	95,00	100,00	"G4"	972,95	0,00	90,00
"8716902000001"	"STEDIN ZEELAND"	"Doelstraat"	"4413BJ"	"4413BJ"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	24	66,67	100,00	54,17	"3x25"	2605,08	91,67	91,67
