Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2015";"Zeeland";"322,353277789404";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2016";"Zeeland";"256,363690394168";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2017";"Zeeland";"330,457664218707";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2018";"Zeeland";"555,858698869005";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2019";"Zeeland";"698,457163634506";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2020";"Zeeland";"628,850605417632";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2021";"Zeeland";"718,949474186645";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2022";"Zeeland";"665,477506622897";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2023";"Zeeland";"662,455862648628";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2024";"Zeeland";"1075,82546475808";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare warmte";"TJ";"2010";"Zeeland";"705,527010130357";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare warmte";"TJ";"2011";"Zeeland";"767,831277478078";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
