Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2021";"Zeeland";"41";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2021";"Zeeland";"49";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2022";"Zeeland";"50";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2022";"Zeeland";"49";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2022";"Zeeland";"51";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2022";"Zeeland";"54";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2023";"Zeeland";"67";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2023";"Zeeland";"73";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2023";"Zeeland";"81";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2023";"Zeeland";"92";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2024";"Zeeland";"91";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2024";"Zeeland";"104";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2024";"Zeeland";"136";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2024";"Zeeland";"137";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2025";"Zeeland";"160";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2025";"Zeeland";"155";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Snellaadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2025";"Zeeland";"155";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
